# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:alpha
8	1.5625000000000000e-02	0	0	32	-3	32	0.0000000000000000e+00	-2.8000000000000000e+02	0.0000000000000000e+00	9.9610584256839507e-01
8	1.5625000000000000e-02	0	0	32	-2	32	0.0000000000000000e+00	-2.7200000000000000e+02	0.0000000000000000e+00	9.9610584256839507e-01
8	1.5625000000000000e-02	0	0	32	-1	32	0.0000000000000000e+00	-2.6400000000000000e+02	0.0000000000000000e+00	9.9610584256839507e-01
8	1.5625000000000000e-02	0	0	32	0	32	0.0000000000000000e+00	-2.5600000000000000e+02	0.0000000000000000e+00	9.9610584256839507e-01
8	1.5625000000000000e-02	0	0	32	1	32	0.0000000000000000e+00	-2.4800000000000000e+02	0.0000000000000000e+00	9.9598065581613859e-01
8	1.5625000000000000e-02	0	0	32	2	32	0.0000000000000000e+00	-2.4000000000000000e+02	0.0000000000000000e+00	9.9584714489410975e-01
8	1.5625000000000000e-02	0	0	32	3	32	0.0000000000000000e+00	-2.3200000000000000e+02	0.0000000000000000e+00	9.9570446519678202e-01
8	1.5625000000000000e-02	0	0	32	4	32	0.0000000000000000e+00	-2.2400000000000000e+02	0.0000000000000000e+00	9.9555163430192550e-01
8	1.5625000000000000e-02	0	0	32	5	32	0.0000000000000000e+00	-2.1600000000000000e+02	0.0000000000000000e+00	9.9538752985536927e-01
8	1.5625000000000000e-02	0	0	32	6	32	0.0000000000000000e+00	-2.0800000000000000e+02	0.0000000000000000e+00	9.9521085704690704e-01
8	1.5625000000000000e-02	0	0	32	7	32	0.0000000000000000e+00	-2.0000000000000000e+02	0.0000000000000000e+00	9.9502011494720555e-01
8	1.5625000000000000e-02	0	0	32	8	32	0.0000000000000000e+00	-1.9200000000000000e+02	0.0000000000000000e+00	9.9481355380666925e-01
8	1.5625000000000000e-02	0	0	32	9	32	0.0000000000000000e+00	-1.8400000000000000e+02	0.0000000000000000e+00	9.9458912128348542e-01
