# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:alpha
0	0.0000000000000000e+00	0	0	-3	32	32	-2.8000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375906989967e-01
0	0.0000000000000000e+00	0	0	-2	32	32	-2.7200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375906989967e-01
0	0.0000000000000000e+00	0	0	-1	32	32	-2.6400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375906989967e-01
0	0.0000000000000000e+00	0	0	0	32	32	-2.5600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375906989967e-01
0	0.0000000000000000e+00	0	0	1	32	32	-2.4800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9597835665438372e-01
0	0.0000000000000000e+00	0	0	2	32	32	-2.4000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9584460987059897e-01
0	0.0000000000000000e+00	0	0	3	32	32	-2.3200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9570165677888034e-01
0	0.0000000000000000e+00	0	0	4	32	32	-2.2400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9554851242727505e-01
0	0.0000000000000000e+00	0	0	5	32	32	-2.1600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9538404608134978e-01
0	0.0000000000000000e+00	0	0	6	32	32	-2.0800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9520695319821550e-01
0	0.0000000000000000e+00	0	0	7	32	32	-2.0000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9501572067173649e-01
0	0.0000000000000000e+00	0	0	8	32	32	-1.9200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9480858338396794e-01
0	0.0000000000000000e+00	0	0	9	32	32	-1.8400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9458346941292930e-01
0	0.0000000000000000e+00	0	0	10	32	32	-1.7600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9433793028072037e-01
0	0.0000000000000000e+00	0	0	11	32	32	-1.6800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9406905124427003e-01
0	0.0000000000000000e+00	0	0	12	32	32	-1.6000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9377333462473538e-01
0	0.0000000000000000e+00	0	0	13	32	32	-1.5200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9344654620994044e-01
0	0.0000000000000000e+00	0	0	14	32	32	-1.4400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9308351031278286e-01
0	0.0000000000000000e+00	0	0	15	32	32	-1.3600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9267783224341111e-01
0	0.0000000000000000e+00	0	0	16	32	32	-1.2800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9222151625610422e-01
0	0.0000000000000000e+00	0	0	17	32	32	-1.2000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9170442985204932e-01
0	0.0000000000000000e+00	0	0	18	32	32	-1.1200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9111353696206306e-01
