# 1D ASCII output created by CarpetIOASCII
# created on ekohaes8 by rhaas on Sep 20 2023 at 09:40:13-0500
# parameter filename: "/home/rhaas/postdoc/gr/cactus/carpetxbench/parfiles/headon_merger_benchNoX.par"
#
# alp z (alp)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
0	0	0 0 0	34816 34816 0	0	0 0 -272	0.996334210833295
0	0	0 0 0	34816 34816 1024	0	0 0 -264	0.996223477172232
0	0	0 0 0	34816 34816 2048	0	0 0 -256	0.996105846415973
0	0	0 0 0	34816 34816 3072	0	0 0 -248	0.995980653593949
0	0	0 0 0	34816 34816 4096	0	0 0 -240	0.995847145432399
0	0	0 0 0	34816 34816 5120	0	0 0 -232	0.995704465196809
0	0	0 0 0	34816 34816 6144	0	0 0 -224	0.995551634301877
0	0	0 0 0	34816 34816 7168	0	0 0 -216	0.995387529855331
0	0	0 0 0	34816 34816 8192	0	0 0 -208	0.995210857046864
0	0	0 0 0	34816 34816 9216	0	0 0 -200	0.995020114947157
0	0	0 0 0	34816 34816 10240	0	0 0 -192	0.994813553806617
0	0	0 0 0	34816 34816 11264	0	0 0 -184	0.994589121283429
0	0	0 0 0	34816 34816 12288	0	0 0 -176	0.994344394102481
0	0	0 0 0	34816 34816 13312	0	0 0 -168	0.994076490324006
0	0	0 0 0	34816 34816 14336	0	0 0 -160	0.993781955487907
0	0	0 0 0	34816 34816 15360	0	0 0 -152	0.993456613088797
0	0	0 0 0	34816 34816 16384	0	0 0 -144	0.993095365634041
0	0	0 0 0	34816 34816 17408	0	0 0 -136	0.992691926132513
0	0	0 0 0	34816 34816 18432	0	0 0 -128	0.992238449895554
0	0	0 0 0	34816 34816 19456	0	0 0 -120	0.991725020659737
0	0	0 0 0	34816 34816 20480	0	0 0 -112	0.991138919104876
0	0	0 0 0	34816 34816 21504	0	0 0 -104	0.99046355821969
0	0	0 0 0	34816 34816 22528	0	0 0 -96	0.989676894181962
0	0	0 0 0	34816 34816 23552	0	0 0 -88	0.988748984805551
0	0	0 0 0	34816 34816 24576	0	0 0 -80	0.987638110700068
0	0	0 0 0	34816 34816 25600	0	0 0 -72	0.986284366896042
0	0	0 0 0	34816 34816 26624	0	0 0 -64	0.984598571210841
0	0	0 0 0	34816 34816 27648	0	0 0 -56	0.982441957229383
0	0	0 0 0	34816 34816 28672	0	0 0 -48	0.979586326869339
0	0	0 0 0	34816 34816 29696	0	0 0 -40	0.975628681958521
0	0	0 0 0	34816 34816 30720	0	0 0 -32	0.969785975660595
0	0	0 0 0	34816 34816 31744	0	0 0 -24	0.960316347080491
0	0	0 0 0	34816 34816 32768	0	0 0 -16	0.942444490455887
0	0	0 0 0	34816 34816 33792	0	0 0 -8	0.896932310614595
0	0	0 0 0	34816 34816 34816	0	0 0 0	0.72174798339729
0	0	0 0 0	34816 34816 35840	0	0 0 8	0.896932310614595
0	0	0 0 0	34816 34816 36864	0	0 0 16	0.942444490455887
0	0	0 0 0	34816 34816 37888	0	0 0 24	0.960316347080491

# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 1
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
0	0	0 1 0	34816 34816 0	0	0 0 -272	0.996334210833295
0	0	0 1 0	34816 34816 1024	0	0 0 -264	0.996223477172232
0	0	0 1 0	34816 34816 2048	0	0 0 -256	0.996105846415973
0	0	0 1 0	34816 34816 3072	0	0 0 -248	0.995980653593949
0	0	0 1 0	34816 34816 4096	0	0 0 -240	0.995847145432399
0	0	0 1 0	34816 34816 5120	0	0 0 -232	0.995704465196809
0	0	0 1 0	34816 34816 6144	0	0 0 -224	0.995551634301877
0	0	0 1 0	34816 34816 7168	0	0 0 -216	0.995387529855331
0	0	0 1 0	34816 34816 8192	0	0 0 -208	0.995210857046864
0	0	0 1 0	34816 34816 9216	0	0 0 -200	0.995020114947157
0	0	0 1 0	34816 34816 10240	0	0 0 -192	0.994813553806617
0	0	0 1 0	34816 34816 11264	0	0 0 -184	0.994589121283429
0	0	0 1 0	34816 34816 12288	0	0 0 -176	0.994344394102481
0	0	0 1 0	34816 34816 13312	0	0 0 -168	0.994076490324006
0	0	0 1 0	34816 34816 14336	0	0 0 -160	0.993781955487907
0	0	0 1 0	34816 34816 15360	0	0 0 -152	0.993456613088797
0	0	0 1 0	34816 34816 16384	0	0 0 -144	0.993095365634041
0	0	0 1 0	34816 34816 17408	0	0 0 -136	0.992691926132513
0	0	0 1 0	34816 34816 18432	0	0 0 -128	0.992238449895554
0	0	0 1 0	34816 34816 19456	0	0 0 -120	0.991725020659737
0	0	0 1 0	34816 34816 20480	0	0 0 -112	0.991138919104876
0	0	0 1 0	34816 34816 21504	0	0 0 -104	0.99046355821969
0	0	0 1 0	34816 34816 22528	0	0 0 -96	0.989676894181962
0	0	0 1 0	34816 34816 23552	0	0 0 -88	0.988748984805551
0	0	0 1 0	34816 34816 24576	0	0 0 -80	0.987638110700068
0	0	0 1 0	34816 34816 25600	0	0 0 -72	0.986284366896042
0	0	0 1 0	34816 34816 26624	0	0 0 -64	0.984598571210841
0	0	0 1 0	34816 34816 27648	0	0 0 -56	0.982441957229383
0	0	0 1 0	34816 34816 28672	0	0 0 -48	0.979586326869339
0	0	0 1 0	34816 34816 29696	0	0 0 -40	0.975628681958521
0	0	0 1 0	34816 34816 30720	0	0 0 -32	0.969785975660595
0	0	0 1 0	34816 34816 31744	0	0 0 -24	0.960316347080491
0	0	0 1 0	34816 34816 32768	0	0 0 -16	0.942444490455887
0	0	0 1 0	34816 34816 33792	0	0 0 -8	0.896932310614595
0	0	0 1 0	34816 34816 34816	0	0 0 0	0.72174798339729
0	0	0 1 0	34816 34816 35840	0	0 0 8	0.896932310614595
0	0	0 1 0	34816 34816 36864	0	0 0 16	0.942444490455887
0	0	0 1 0	34816 34816 37888	0	0 0 24	0.960316347080491

# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 2
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
0	0	0 2 0	34816 34816 0	0	0 0 -272	0.996334210833295
0	0	0 2 0	34816 34816 1024	0	0 0 -264	0.996223477172232
0	0	0 2 0	34816 34816 2048	0	0 0 -256	0.996105846415973
0	0	0 2 0	34816 34816 3072	0	0 0 -248	0.995980653593949
0	0	0 2 0	34816 34816 4096	0	0 0 -240	0.995847145432399
0	0	0 2 0	34816 34816 5120	0	0 0 -232	0.995704465196809
0	0	0 2 0	34816 34816 6144	0	0 0 -224	0.995551634301877
0	0	0 2 0	34816 34816 7168	0	0 0 -216	0.995387529855331
0	0	0 2 0	34816 34816 8192	0	0 0 -208	0.995210857046864
0	0	0 2 0	34816 34816 9216	0	0 0 -200	0.995020114947157
0	0	0 2 0	34816 34816 10240	0	0 0 -192	0.994813553806617
0	0	0 2 0	34816 34816 11264	0	0 0 -184	0.994589121283429
0	0	0 2 0	34816 34816 12288	0	0 0 -176	0.994344394102481
